player_name,player_position,height,nationality,date_of_birth,weight
Hayao Kawabe,Midfielder,178cm,Japan,08/09/1995,
Carl Ikeme,Goalkeeper,188cm,Nigeria,08/06/1986,
Allan Tchaptchet,Defender,193cm,France,21/12/2001,
SÃ©amus Coleman,Defender,177cm,Ireland,11/10/1988,67
Shaun Hobson,Defender,,England,29/06/1998,
Luke Garbutt,Defender,179cm,England,21/05/1993,
Thomas Dickson-Peters,Forward,,Scotland,16/09/2002,
James Husband,Defender,179cm,England,03/01/1994,
Alfie Payne,Midfielder,,England,07/10/1999,
Rhys Healey,Forward,180cm,England,06/12/1994,
Thierry Small,Defender,,England,01/08/2004,
Mazeed Ogungbo,Defender,,Ireland,20/10/2002,
Son Heung-Min,Forward,183cm,South Korea,08/07/1992,78
Stuart Taylor,Goalkeeper,198cm,England,28/11/1980,
Nathan Tella,Midfielder,,England,05/07/1999,
Terence Kongolo,Defender,188cm,Netherlands,14/02/1994,
Daniel Agyei,Forward,183cm,England,01/06/1997,
Shea Charles,Defender,,Northern Ireland,05/11/2003,
Harrison Ashby,Defender,,Scotland,14/11/2001,
Felix Nmecha,Midfielder,188cm,Germany,10/10/2000,
Greg Cunningham,Defender,183cm,Ireland,31/01/1991,
Pape Sarr,Midfielder,185cm,Senegal,14/09/2002,
Joy Mukena,Defender,,England,03/07/1999,
Issa Diop,Defender,194cm,France,09/01/1997,92
Tyreece John-Jules,Forward,183cm,England,14/02/2001,
Mason Mount,Midfielder,178cm,England,10/01/1999,70
Arthur Masuaku,Defender,179cm,DR Congo,07/11/1993,70
Matt Targett,Defender,183cm,England,18/09/1995,70
Sead Haksabanovic,Midfielder,173cm,Montenegro,04/05/1999,
Alphonse Areola,Goalkeeper,195cm,France,27/02/1993,94
Jack Grealish,Midfielder,175cm,England,10/09/1995,68
Brice Dja DjÃ©djÃ©,Defender,170cm,Cote Dâ€™Ivoire,23/12/1990,
Allan Saint-Maximin,Forward,173cm,France,12/03/1997,67
Ricardo Pereira,Defender,175cm,Portugal,06/10/1993,70
Naby KeÃ¯ta,Midfielder,172cm,Guinea,10/02/1995,64
Phil Ofosu-Ayeh,Defender,181cm,Ghana,15/09/1991,
Connor Wickham,Forward,191cm,England,31/03/1993,
Takumi Minamino,Forward,174cm,Japan,16/01/1995,68
Joe Hart,Goalkeeper,196cm,England,19/04/1987,
Antonio RÃ¼diger,Defender,190cm,Germany,03/03/1993,85
Brad Young,Forward,,England,06/01/2003,
Nnamdi Ofoborh,Midfielder,175cm,Nigeria,07/11/1999,
JoÃ£o Pedro,Forward,182cm,Brazil,26/09/2001,70
Declan John,Defender,178cm,Wales,30/06/1995,
Ryan Longman,Forward,180cm,England,06/11/2000,
Lyanco,Defender,187cm,Brazil,01/02/1997,85
Michael Stensgaard,Goalkeeper,188cm,Denmark,01/09/1974,
Josh Benson,Midfielder,175cm,England,05/12/1999,
David Luiz,Defender,189cm,Brazil,22/04/1987,
Richard Towell,Midfielder,173cm,Ireland,17/07/1991,
Fabio Carvalho,Midfielder,,Portugal,30/08/2002,
Pedro Chirivella,Midfielder,178cm,Spain,23/05/1997,
Ryan Bertrand,Defender,179cm,England,05/08/1989,85
Jan Paul van Hecke,Defender,,Netherlands,08/06/2000,
Shane Flynn,Midfielder,,Ireland,14/10/2001,
Shayne Lavery,Forward,,Northern Ireland,08/12/1998,
James Olayinka,Midfielder,,England,05/10/2000,
Arjan Raikhy,Midfielder,,England,20/10/2002,
Kgaogelo Chauke,Midfielder,,England,08/01/2003,
Steven Alzate,Midfielder,180cm,Colombia,08/09/1998,75
Omar Rekik,Defender,186cm,Tunisia,20/12/2001,
Kyle Edwards,Midfielder,172cm,England,17/02/1998,
Tomer Hemed,Forward,186cm,Israel,02/05/1987,
Alex Pritchard,Midfielder,171cm,England,03/05/1993,
Alfie Devine,Midfielder,179cm,England,01/08/2004,75
Marcelo Pitaluga,Goalkeeper,192cm,Brazil,20/12/2002,77
Santi Cazorla,Midfielder,168cm,Spain,13/12/1984,
CÃ©dric KiprÃ©,Defender,193cm,Cote Dâ€™Ivoire,09/12/1996,
Oscar Bobb,Midfielder,,Norway,12/07/2003,
Robin Olsen,Goalkeeper,198cm,Sweden,08/01/1990,89
Yohan Benalouane,Defender,185cm,Tunisia,28/03/1987,
Gaetano Berardi,Defender,179cm,Switzerland,21/08/1988,
Niels Nkounkou,Defender,180cm,France,01/11/2000,
Younes Kaboul,Defender,193cm,France,04/01/1986,
Todd Cantwell,Midfielder,177cm,England,27/02/1998,
Morgan Sanson,Midfielder,180cm,France,18/08/1994,73
Connor Barrett,Defender,,England,01/03/2002,
David Brooks,Midfielder,173cm,Wales,08/07/1997,
Dennis Srbeny,Forward,189cm,Germany,05/05/1994,
Matt O'Riley,Midfielder,,Denmark,21/11/2000,
Dean Marney,Midfielder,183cm,England,31/01/1984,
Konstantinos Mavropanos,Defender,194cm,Greece,11/12/1997,
Daniel N'Lundulu,Forward,185cm,England,05/02/1999,
Ezgjan Alioski,Midfielder,173cm,North Macedonia,12/02/1992,
Bojan Radulovi&#263;,Forward,,Serbia,,NULL
Anthony Driscoll-Glennon,Defender,181cm,England,26/11/1999,
Marc Albrighton,Midfielder,175cm,England,18/11/1989,74
Dwight McNeil,Midfielder,183cm,England,22/11/1999,68
Omotayo Adaramola,Defender,,Ireland,13/11/2003,
Matty James,Midfielder,181cm,England,22/07/1991,
Mungo Bridge,Forward,,England,12/09/2000,
Patrice Evra,Defender,174cm,France,15/05/1981,
Chuba Akpom,Forward,183cm,England,09/10/1995,
Odeluga Offiah,Defender,,England,26/10/2002,
Tareiq Holmes-Dennis,Defender,175cm,England,31/10/1995,
Faustino Anjorin,Midfielder,185cm,England,23/11/2001,
Alex Oxlade-Chamberlain,Midfielder,180cm,England,15/08/1993,70
Pablo Zabaleta,Defender,176cm,Argentina,16/01/1985,
Glenn Whelan,Midfielder,180cm,Ireland,13/01/1984,
Ethan Laird,Defender,177cm,England,05/08/2001,
Dele Alli,Midfielder,188cm,England,11/04/1996,76
Willy Caballero,Goalkeeper,186cm,Argentina,28/09/1981,81
Will Norris,Goalkeeper,195cm,England,12/08/1993,74
Daniel Kemp,Midfielder,,England,11/01/1999,
Keenan Appiah-Forson,Midfielder,,England,16/10/2001,
Wilfred Ndidi,Midfielder,183cm,Nigeria,16/12/1996,74
Muhamed Besic,Midfielder,180cm,Bosnia & Herzegovina,10/09/1992,
Einar Iversen,Midfielder,,Norway,06/06/2001,
Ben Marshall,Midfielder,183cm,England,29/03/1991,
Jonny Evans,Defender,188cm,Northern Ireland,03/01/1988,77
Kevin Danso,Defender,190cm,Austria,19/09/1998,
Remi Matthews,Goalkeeper,184cm,England,10/02/1994,78
Jamal Lewis,Defender,178cm,Northern Ireland,25/01/1998,70
Cody Drameh,Defender,,England,08/12/2001,
Conor Shaughnessy,Midfielder,191cm,Ireland,30/06/1996,
Christian Fuchs,Defender,187cm,Austria,07/04/1986,
Massadio HaÃ¯dara,Defender,179cm,Mali,02/12/1992,
Barry Douglas,Defender,176cm,Scotland,04/09/1989,
Fraser Hornby,Forward,195cm,Scotland,13/09/1999,
Marcelo DjalÃ³,Defender,193cm,Guinea-Bissau,08/10/1993,
Kristoffer Klaesson,Goalkeeper,189cm,Norway,27/11/2000,76
Mario Lemina,Midfielder,184cm,Gabon,01/09/1993,
Karlan Grant,Forward,180cm,England,18/09/1997,
Josip Drmic,Forward,183cm,Switzerland,08/08/1992,
Joelinton,Forward,186cm,Brazil,14/08/1996,81
Steve MouniÃ©,Forward,190cm,Benin,29/09/1994,
Callum Slattery,Midfielder,175cm,England,08/02/1999,
Giovanni McGregor,Midfielder,,England,09/01/1999,
Grady Diangana,Midfielder,180cm,England,19/04/1998,
Michael Obafemi,Forward,169cm,Ireland,06/07/2000,
Marcos Rojo,Defender,186cm,Argentina,20/03/1990,
Emiliano BuendÃ­a,Midfielder,172cm,Argentina,25/12/1996,72
Matt Miazga,Defender,191cm,United States,19/07/1995,
FÃ¡bio Silva,Forward,185cm,Portugal,19/07/2002,75
Jared Thompson,Goalkeeper,,Northern Ireland,23/02/1999,
Shinji Okazaki,Forward,174cm,Japan,16/04/1986,
AndrÃ© Gomes,Midfielder,188cm,Portugal,30/07/1993,84
Nabil Bentaleb,Midfielder,187cm,Algeria,24/11/1994,
Billy Sharp,Forward,175cm,England,05/02/1986,
Emerson,Defender,176cm,Italy,03/08/1994,
Vincent Janssen,Forward,180cm,Netherlands,15/06/1994,
Sergio AgÃ¼ero,Forward,173cm,Argentina,02/06/1988,
Samir,Defender,189cm,Brazil,05/12/1994,73
Marcel Franke,Defender,193cm,Germany,05/04/1993,
Leo Ã˜stigÃ¥rd,Defender,182cm,Norway,28/11/1999,
Luka Milivojevic,Midfielder,186cm,Serbia,07/04/1991,80
Lamare Bogarde,Midfielder,,Netherlands,05/01/2004,
Ethan Hamilton,Midfielder,187cm,Scotland,18/10/1998,
Jayden Bogle,Defender,178cm,England,27/07/2000,
Juan Foyth,Defender,179cm,Argentina,12/01/1998,
Pierluigi Gollini,Goalkeeper,194cm,Italy,18/03/1995,94
Julian Jeanvier,Defender,185cm,Guinea,31/03/1992,84
Paulo Gazzaniga,Goalkeeper,196cm,Argentina,02/01/1992,
Adama Diakhaby,Forward,184cm,France,05/07/1996,
Ben Mee,Defender,180cm,England,21/09/1989,74
Jack Henry-Francis,Midfielder,,Ireland,23/09/2003,
D'Mani Mellor,Forward,,England,20/09/2000,
Moses Makasi,Midfielder,,England,22/09/1995,
Frankie Ealing,Defender,,England,14/07/2004,
Liam Cooper,Defender,180cm,Scotland,30/08/1991,73
Omar Bogle,Forward,187cm,England,26/07/1992,
Isaac Success,Forward,186cm,Nigeria,07/01/1996,
Simon Francis,Defender,183cm,England,16/02/1985,
Callum Robinson,Forward,178cm,Ireland,02/02/1995,
Samuel Kalu,Forward,176cm,Nigeria,26/08/1997,74
Craig Dawson,Defender,188cm,England,06/05/1990,82
Nya Kirby,Midfielder,174cm,England,31/01/2000,
Diogo Dalot,Defender,183cm,Portugal,18/03/1999,76
Ben Barclay,Defender,,England,07/10/1996,
Lee Chung-Yong,Midfielder,180cm,South Korea,02/07/1988,
GonÃ§alo Cardoso,Defender,189cm,Portugal,21/10/2000,
Adrian Mariappa,Defender,180cm,Jamaica,03/10/1986,
Claudio Gomes,Midfielder,164cm,France,23/07/2000,
Elia Caprile,Goalkeeper,,Italy,25/08/2001,
Sean Morrison,Defender,193cm,England,08/01/1991,
Jiang Guangtai,Defender,181cm,China,27/05/1994,
Shilow Tracey,Midfielder,179cm,England,29/04/1998,
Ellery Balcombe,Goalkeeper,190cm,England,15/10/1999,
Michy Batshuayi,Forward,184cm,Belgium,02/10/1993,
Pote,Midfielder,173cm,Portugal,28/06/1998,
Gary Madine,Forward,193cm,England,24/08/1990,
Rafael Camacho,Midfielder,175cm,Portugal,22/05/2000,
Declan Rice,Midfielder,185cm,England,14/01/1999,76
James Garner,Midfielder,186cm,England,13/03/2001,
Rhys Williams,Defender,,England,03/02/2001,
Kai Havertz,Midfielder,188cm,Germany,11/06/1999,83
Ben Foster,Goalkeeper,193cm,England,03/04/1983,79
Felipe Anderson,Midfielder,175cm,Brazil,15/04/1993,
JosÃ© Izquierdo,Forward,171cm,Colombia,07/07/1992,
Dominic Thompson,Defender,,England,26/07/2000,
Lars Dendoncker,Defender,,Belgium,03/04/2001,
Dane Scarlett,Forward,180cm,England,24/03/2004,76
Sam Sherring,Defender,,England,08/05/2000,
Mbwana Samatta,Forward,183cm,Tanzania,23/12/1992,
RÃºben Vinagre,Defender,174cm,Portugal,09/04/1999,
Jesurun Rak-Sakyi,Midfielder,,England,05/10/2002,
Ryan Kent,Forward,172cm,England,11/11/1996,
Kyle Walker-Peters,Defender,173cm,England,13/04/1997,62
Leon Balogun,Defender,190cm,Nigeria,28/06/1988,
Leonardo Campana,Forward,187cm,Ecuador,24/07/2000,
Kieran O'Hara,Goalkeeper,191cm,Ireland,22/04/1996,
Florian Lejeune,Defender,189cm,France,20/05/1991,
Aleksandar Dragovic,Defender,186cm,Austria,06/03/1991,
Amad Diallo,Forward,173cm,Cote Dâ€™Ivoire,11/07/2002,
Halil Dervisoglu,Forward,183cm,Turkey,08/12/1999,
Tony Springett,Midfielder,,England,,
Harry Arter,Midfielder,176cm,Ireland,28/12/1989,
Nathan Ferguson,Defender,178cm,England,06/10/2000,74
Indiana Vassilev,Forward,173cm,United States,16/02/2001,
Bakary Sako,Midfielder,183cm,Mali,26/04/1988,
Fabian SchÃ¤r,Defender,188cm,Switzerland,20/12/1991,84
Ben Cottrell,Midfielder,,England,31/10/2001,
Peter Keen,Goalkeeper,183cm,England,16/11/1976,
Josh Dasilva,Midfielder,184cm,England,23/10/1998,75
Nigel Lonwijk,Defender,188cm,Netherlands,27/10/2002,
Solly March,Midfielder,180cm,England,20/07/1994,88
Matthew Cash,Defender,185cm,Poland,07/08/1997,
Thomas McGill,Goalkeeper,,England,25/03/2000,
William Dennis,Goalkeeper,,England,10/07/2000,
Hugo Bueno,Defender,180cm,Spain,18/09/2002,
Neil Taylor,Defender,176cm,Wales,07/02/1989,
Tom Cleverley,Midfielder,175cm,England,12/08/1989,67
Jota,Midfielder,180cm,Spain,16/06/1991,
Nicolas PÃ©pÃ©,Forward,183cm,Cote Dâ€™Ivoire,29/05/1995,73
Zech Medley,Defender,195cm,England,09/07/2000,
Arijanet Muric,Goalkeeper,198cm,Kosovo,07/11/1998,
Vitaly Janelt,Midfielder,184cm,Germany,10/05/1998,79
Ashley Westwood,Midfielder,175cm,England,01/04/1990,80
Jayden Bennetts,Midfielder,,England,26/06/2001,
Erdal Rakip,Midfielder,180cm,North Macedonia,13/02/1996,
Rodrigo,Forward,182cm,Spain,06/03/1991,77
Tommi O'Reilly,Midfielder,,England,15/12/2003,
Oliver Burke,Midfielder,188cm,Scotland,07/04/1997,
Ben Stevenson,Midfielder,183cm,England,23/03/1997,
Daniel Bachmann,Goalkeeper,191cm,Austria,09/07/1994,81
Divock Origi,Forward,185cm,Belgium,18/04/1995,75
Julio Pleguezuelo,Defender,180cm,Spain,26/01/1997,
Stefano Okaka,Forward,186cm,Italy,09/08/1989,
Ryan Babel,Midfielder,185cm,Netherlands,19/12/1986,
Pontus Dahlberg,Goalkeeper,194cm,Sweden,21/01/1999,
Lewis Cook,Midfielder,175cm,England,03/02/1997,
Jamie Vardy,Forward,179cm,England,11/01/1987,74
Simon Moore,Goalkeeper,191cm,England,19/05/1990,
Facundo Pellistri,Midfielder,175cm,Uruguay,20/12/2001,69
Emre Can,Midfielder,186cm,Germany,12/01/1994,
Demeaco Duhaney,Defender,180cm,England,13/10/1998,
Vitinha,Midfielder,172cm,Portugal,13/02/2000,
Finn Azaz,Midfielder,,England,07/09/2000,
Aaron Lennon,Midfielder,165cm,England,16/04/1987,63
Dimitris Giannoulis,Defender,175cm,Greece,17/10/1995,62
Axel Tuanzebe,Defender,186cm,England,14/11/1997,
Darnell Johnson,Defender,,England,03/09/1998,
Adam Parkes,Goalkeeper,,England,30/11/1999,
Chris Mepham,Defender,191cm,Wales,05/11/1997,
Dion Henry,Goalkeeper,180cm,England,12/09/1997,
Cuco Martina,Defender,185cm,Curacao,25/09/1989,
Jairo Riedewald,Midfielder,182cm,Netherlands,09/09/1996,79
Joseph Anang,Goalkeeper,,England,08/06/2000,
Phil Bardsley,Defender,180cm,Scotland,28/06/1985,74
Terell Pennant,Midfielder,,England,14/09/2002,
Ricky Holmes,Midfielder,173cm,England,19/06/1987,
Vashon Neufville,Defender,173cm,England,18/07/1999,
Tobi Omole,Defender,,England,17/12/1999,
Mathew Ryan,Goalkeeper,184cm,Australia,08/04/1992,
Ajibola Alese,Defender,,England,17/01/2001,
Jack Roles,Midfielder,,Cyprus,26/02/1999,
Mika Biereth,Forward,,England,08/02/2003,
Josh Brownhill,Midfielder,180cm,England,19/12/1995,69
Leandro Bacuna,Midfielder,187cm,Curacao,21/08/1991,
Jonathan Dinzeyi,Defender,,England,13/10/1999,
Hal Robson-Kanu,Forward,183cm,Wales,21/05/1989,
Teden Mengi,Defender,183cm,England,30/04/2002,
Pablo HernÃ¡ndez,Midfielder,173cm,Spain,11/04/1985,
Jason Lokilo,Midfielder,175cm,DR Congo,17/09/1998,
Roderick Miranda,Defender,191cm,Portugal,30/03/1991,
Sean Longstaff,Midfielder,180cm,England,30/10/1997,65
Will Russ,Midfielder,,Wales,08/11/2002,
Shaqai Forde,Midfielder,,England,,
Mitchell Clark,Defender,,Wales,13/03/1999,
Ben Hamer,Goalkeeper,192cm,England,20/11/1987,
Alberto Moreno,Defender,171cm,Spain,05/07/1992,
Ryan Giles,Midfielder,179cm,England,26/01/2000,
Mohamed Salah,Forward,175cm,Egypt,15/06/1992,71
Scott Banks,Midfielder,,Scotland,26/09/2001,
Armando Broja,Forward,191cm,Albania,10/09/2001,
Jimmy Dunne,Defender,183cm,Ireland,19/10/1997,
Will Alves,Forward,,England,04/02/2005,
Chituru Odunze,Goalkeeper,200cm,United States,14/10/2002,
Christian Benteke,Forward,190cm,Belgium,03/12/1990,83
Owen Beck,Defender,,Wales,09/08/2002,
N'Golo KantÃ©,Midfielder,168cm,France,29/03/1991,68
Danny Welbeck,Forward,185cm,England,26/11/1990,73
Abdoulaye DoucourÃ©,Midfielder,184cm,Mali,01/01/1993,75
IsmaÃ¯la Sarr,Forward,185cm,Senegal,25/02/1998,76
Enda Stevens,Defender,183cm,Ireland,09/07/1990,
Nathaniel Phillips,Defender,190cm,England,21/03/1997,
John Egan,Defender,185cm,Ireland,20/10/1992,
Charlie Cresswell,Defender,,England,17/08/2002,
Kiko FemenÃ­a,Defender,176cm,Spain,02/02/1991,61
Maxwel Cornet,Midfielder,179cm,Cote Dâ€™Ivoire,27/09/1996,69
Nathaniel Clyne,Defender,175cm,England,05/04/1991,67
Charlie Patino,Midfielder,,England,17/10/2003,
Michael Hector,Defender,193cm,Jamaica,19/07/1992,
Ashley Fletcher,Forward,185cm,England,02/10/1995,
Jordan Hugill,Forward,183cm,England,04/06/1992,
Thibaut Courtois,Goalkeeper,199cm,Belgium,11/05/1992,
Armand Traore,Defender,185cm,Senegal,08/10/1989,
Andreas Pereira,Midfielder,175cm,Brazil,01/01/1996,
Tyler Smith,Forward,178cm,England,04/12/1998,
Elijah Dixon-Bonner,Midfielder,,England,01/01/2001,
Reece James,Defender,182cm,England,08/12/1999,82
Ryan Schofield,Goalkeeper,190cm,England,11/12/1999,
Sidnei Tavares,Midfielder,,Portugal,29/09/2001,
James Furlong,Defender,,Ireland,07/06/2002,
Jonathan Tomkinson,Defender,,United States,11/04/2002,
Jeffrey Schlupp,Midfielder,178cm,Ghana,23/12/1992,72
Leon Clarke,Forward,188cm,England,10/02/1985,
Max Aarons,Defender,178cm,England,04/01/2000,69
Diego Rico,Defender,183cm,Spain,23/02/1993,
Jake Clarke-Salter,Defender,188cm,England,22/09/1997,
Matthew Smith,Midfielder,,England,05/10/2000,
J'Neil Bennett,Midfielder,,England,07/12/2001,
Hakim Ziyech,Midfielder,180cm,Morocco,19/03/1993,65
Nathan Trott,Goalkeeper,188cm,England,21/11/1998,
Stuart O'Keefe,Midfielder,173cm,England,04/03/1991,
Peter Gwargis,Midfielder,,Sweden,04/09/2000,
Sam Dalby,Forward,,England,07/12/1999,
Marc GuÃ©hi,Defender,182cm,England,13/07/2000,82
Floyd AyitÃ©,Forward,175cm,Togo,15/12/1988,
Sean Scannell,Midfielder,176cm,Ireland,17/09/1990,
Jaden Philogene-Bidace,Midfielder,,England,08/02/2002,
Dimitri Foulquier,Defender,183cm,Guadeloupe,23/03/1993,
Sammy Braybrooke,Midfielder,,England,12/03/2004,
Juan Mata,Midfielder,170cm,Spain,28/04/1988,63
Gerard Deulofeu,Forward,177cm,Spain,13/03/1994,
Paul Dummett,Defender,183cm,Wales,26/09/1991,82
Joe Bennett,Defender,183cm,England,28/03/1990,
Jesse Lingard,Midfielder,175cm,England,15/12/1992,62
Robert Green,Goalkeeper,187cm,England,18/01/1980,
Dujon Sterling,Defender,186cm,England,24/10/1999,
Ivo Pinto,Defender,182cm,Portugal,07/01/1990,
Gylfi Sigurdsson,Midfielder,186cm,Iceland,08/09/1989,
Ãlvaro FernÃ¡ndez,Goalkeeper,185cm,Spain,13/04/1998,75
Mikael Ndjoli,Forward,183cm,England,16/12/1998,
Ben Godfrey,Defender,183cm,England,15/01/1998,74
Sam Greenwood,Forward,185cm,England,26/01/2002,
Slobodan Tedic,Forward,190cm,Serbia,13/04/2000,
Eduardo,Goalkeeper,187cm,Portugal,19/09/1982,
Caleb Chukwuemeka,Forward,,England,25/01/2002,
Bruno JordÃ£o,Midfielder,180cm,Portugal,12/10/1998,
Allan McGregor,Goalkeeper,183cm,Scotland,31/01/1982,
Jack Harrison,Midfielder,175cm,England,20/11/1996,70
Alfred N'Diaye,Midfielder,193cm,Senegal,06/03/1990,
Oriol Romeu,Midfielder,183cm,Spain,24/09/1991,83
Jensen Weir,Midfielder,184cm,England,31/01/2002,
Matej Vydra,Forward,180cm,Czech Republic,01/05/1992,71
Dodi LukÃ©bakio,Forward,187cm,Belgium,24/09/1997,
JosÃ© Holebas,Defender,184cm,Greece,27/06/1984,
Leonardo Ulloa,Forward,188cm,Argentina,26/07/1986,
Daniel Armstrong,Midfielder,175cm,Scotland,11/10/1997,
Des Hutchinson,Midfielder,,Ireland,05/12/1996,
Sil Swinkels,Defender,,Netherlands,06/01/2004,
Marvelous Nakamba,Midfielder,178cm,Zimbabwe,19/01/1994,71
Freddie Potts,Midfielder,,England,12/09/2003,
Fikayo Tomori,Defender,185cm,England,19/12/1997,
MartÃ­n Montoya,Defender,175cm,Spain,14/04/1991,
Jarell Quansah,Defender,,England,29/01/2003,
Orestis Karnezis,Goalkeeper,189cm,Greece,11/07/1985,
Harry Winks,Midfielder,178cm,England,02/02/1996,65
Mateusz Bogusz,Midfielder,175cm,Poland,22/08/2001,
Joe Hugill,Forward,,England,19/10/2003,
Georges-KÃ©vin Nkoudou,Midfielder,172cm,France,13/02/1995,
Marko Arnautovic,Forward,192cm,Austria,19/04/1989,
Jan Mlakar,Forward,183cm,Slovenia,23/10/1998,
JÃ¼rgen Locadia,Forward,187cm,Netherlands,07/11/1993,
Connor Ronan,Midfielder,178cm,Ireland,06/03/1998,
Virgil van Dijk,Defender,193cm,Netherlands,08/07/1991,92
Steven Sessegnon,Defender,175cm,England,18/05/2000,
Salah-Eddine Oulad M'hand,Midfielder,,Netherlands,20/08/2003,
Timm Klose,Defender,193cm,Switzerland,09/05/1988,
Ibrahim Meite,Forward,188cm,England,29/07/1996,
Giovani Lo Celso,Midfielder,177cm,Argentina,09/04/1996,
Thomas Clayton,Defender,,Scotland,27/12/2000,
Scott Hogan,Forward,180cm,Ireland,13/04/1992,
Carl Jenkinson,Defender,185cm,England,08/02/1992,
Ravel Morrison,Midfielder,175cm,Jamaica,02/02/1993,
Jaime Alvarado,Midfielder,179cm,Colombia,26/07/1999,
Nahki Wells,Forward,170cm,Bermuda,01/06/1990,
Will Ferry,Midfielder,176cm,Ireland,07/12/2000,
Yannick Bolasie,Forward,188cm,DR Congo,24/05/1989,
Ben Jackson,Defender,,England,22/02/2001,
Stephan Lichtsteiner,Defender,182cm,Switzerland,16/01/1984,
JoÃ£o Moutinho,Midfielder,170cm,Portugal,08/09/1986,61
Shola Shoretire,Forward,170cm,England,02/02/2004,
Jakub Moder,Midfielder,188cm,Poland,07/04/1999,78
James Morris,Defender,,England,23/11/2001,
Dwight Gayle,Forward,174cm,England,17/10/1989,78
Fousseni DiabatÃ©,Forward,175cm,Mali,18/10/1995,
Leroy SanÃ©,Forward,183cm,Germany,11/01/1996,
Alex Smithies,Goalkeeper,185cm,England,05/03/1990,
Mark Bunn,Goalkeeper,183cm,England,16/11/1984,
Ã˜rjan Nyland,Goalkeeper,192cm,Norway,10/09/1990,
William Fish,Defender,185cm,England,17/02/2003,
James Daly,Forward,,England,12/01/2000,
Jonny,Defender,175cm,Spain,03/03/1994,70
Kieran Tierney,Defender,178cm,Scotland,05/06/1997,70
Lewis Richardson,Forward,,England,07/02/2003,
Luke McCormick,Midfielder,,England,21/01/1999,
Dilan Markanday,Forward,,England,20/08/2001,
Mohamed Elyounoussi,Midfielder,178cm,Norway,04/08/1994,70
Emerson Hyndman,Midfielder,170cm,United States,09/04/1996,
Mason Greenwood,Forward,181cm,England,01/10/2001,70
Myles Peart-Harris,Midfielder,,England,18/09/2002,
Sam Baldock,Forward,170cm,England,15/03/1989,
Joel Valencia,Forward,164cm,Ecuador,16/11/1994,
FrÃ©dÃ©ric Guilbert,Defender,178cm,France,24/12/1994,
Jadon Sancho,Forward,180cm,England,25/03/2000,76
Samuel Sharrock-Peplow,Midfielder,,England,14/07/2002,
Darren Randolph,Goalkeeper,188cm,Ireland,12/05/1987,98
CÃ©sar Azpilicueta,Defender,178cm,Spain,28/08/1989,76
Kane O'Connor,Defender,,Scotland,17/01/2001,
Jacob Ramsey,Midfielder,,England,28/05/2001,
Mohamed Elneny,Midfielder,180cm,Egypt,11/07/1992,70
Filip Marschall,Goalkeeper,,England,24/04/2003,
Josh Oluwayemi,Goalkeeper,,England,13/03/2001,
Gonzalo HiguaÃ­n,Forward,186cm,Argentina,10/12/1987,
Sead Kolasinac,Defender,183cm,Bosnia & Herzegovina,20/06/1993,
Jean-Philippe Mateta,Forward,192cm,France,28/06/1997,88
David Ospina,Goalkeeper,183cm,Colombia,31/08/1988,
Cameron Archer,Forward,,England,09/12/2001,
Nathan Bishop,Goalkeeper,185cm,England,15/10/1999,
Xherdan Shaqiri,Midfielder,169cm,Switzerland,10/10/1991,
Chiquinho,Forward,179cm,Portugal,05/02/2000,73
Michael Verrips,Goalkeeper,195cm,Netherlands,03/12/1996,
Aaron Ramsey,Midfielder,,England,21/01/2003,
Damien Delaney,Defender,191cm,Ireland,20/07/1981,
Largie Ramazani,Forward,167cm,Belgium,27/02/2001,
Javier Manquillo,Defender,178cm,Spain,05/05/1994,76
William Smallbone,Midfielder,,Ireland,21/02/2000,
Calvin Bassey,Defender,185cm,Nigeria,31/12/1999,
Andrew Omobamidele,Defender,188cm,Ireland,23/06/2002,
Roberto Firmino,Forward,181cm,Brazil,02/10/1991,76
Alex Telles,Defender,181cm,Brazil,15/12/1992,71
Carlos VinÃ­cius,Forward,190cm,Brazil,25/03/1995,
Jubril Okedina,Defender,,England,26/10/2000,
Max Sanders,Midfielder,175cm,England,04/01/1999,
Philippe Sandler,Defender,188cm,Netherlands,10/02/1997,
Aiden O'Neill,Midfielder,178cm,Australia,04/07/1998,
Jorginho,Midfielder,180cm,Italy,20/12/1991,65
Bryce Hosannah,Defender,,England,08/04/1999,
Illan Meslier,Goalkeeper,193cm,France,02/03/2000,74
Owen Bailey,Defender,,England,22/01/1999,
Miguel Britos,Defender,188cm,Uruguay,17/07/1985,
Joseph Hungbo,Midfielder,,England,15/01/2000,
Neco Williams,Defender,183cm,Wales,13/04/2001,
Deniz Undav,Forward,179cm,Germany,19/07/1996,
Joel Pereira,Goalkeeper,188cm,Portugal,28/06/1996,
Ignacio Pussetto,Forward,180cm,Argentina,21/12/1995,74
Lewis Dobbin,Forward,,England,03/01/2003,
Adalberto PeÃ±aranda,Forward,185cm,Venezuela,31/05/1997,
Matthew Pennington,Defender,185cm,England,06/10/1994,
Sadio ManÃ©,Forward,175cm,Senegal,10/04/1992,69
Anthony Martial,Forward,181cm,France,05/12/1995,
Nathan AkÃ©,Defender,180cm,Netherlands,18/02/1995,75
Jon Stankovic,Defender,190cm,Slovenia,14/01/1996,
Aaron Ramsey,Midfielder,178cm,Wales,26/12/1990,
Martin Kelly,Defender,191cm,England,27/04/1990,77
