player_name,player_position,height,nationality,date_of_birth,weight
Jonathan Hogg,Midfielder,170cm,England,06/12/1988,
Tom Davies,Midfielder,180cm,England,30/06/1998,70
Jake Eastwood,Goalkeeper,193cm,England,03/10/1996,
Charlie Whitaker,Midfielder,,England,16/09/2003,
Paulo Alves,Midfielder,176cm,Portugal,25/12/1997,
NicolÃ¡s Otamendi,Defender,183cm,Argentina,12/02/1988,
Oludare Olufunwa,Defender,,England,29/07/2001,
RÃºben Dias,Defender,186cm,Portugal,14/05/1997,76
Sam McCallum,Defender,,England,02/09/2000,
Joe Gelhardt,Forward,175cm,England,04/05/2002,65
Mark Noble,Midfielder,180cm,England,08/05/1987,70
Zanka,Defender,191cm,Denmark,23/04/1990,79
Nathan Collins,Defender,193cm,Ireland,30/04/2001,
Luke Dreher,Midfielder,184cm,England,27/11/1998,
Finley Stevens,Defender,,Wales,10/04/2003,
Neeskens Kebano,Midfielder,170cm,DR Congo,10/03/1992,
AndrÃ©-Frank Zambo Anguissa,Midfielder,184cm,Cameroon,16/11/1995,
James McAtee,Midfielder,,England,18/10/2002,
George Johnston,Defender,181cm,Scotland,01/09/1998,
Jon Flanagan,Defender,181cm,England,01/01/1993,
Lee Grant,Goalkeeper,193cm,England,27/01/1983,83
Valentino Lazaro,Midfielder,180cm,Austria,24/03/1996,
Julian Speroni,Goalkeeper,186cm,Argentina,18/05/1979,
Ã‡aglar SÃ¶yÃ¼ncÃ¼,Defender,185cm,Turkey,23/05/1996,82
Reece Welch,Defender,,England,19/09/2003,
Xande Silva,Forward,177cm,Portugal,16/03/1997,
Jean MichaÃ«l Seri,Midfielder,168cm,Cote Dâ€™Ivoire,19/07/1991,
Andi Janjeva,Defender,,Kosovo,11/10/2002,
Branislav Ivanovic,Defender,185cm,Serbia,22/02/1984,
Jaakko Oksanen,Midfielder,,Finland,07/11/2000,
Francisco Sierralta,Defender,190cm,Chile,06/05/1997,83
Max Meyer,Midfielder,173cm,Germany,18/09/1995,
Thomas Partey,Midfielder,185cm,Ghana,13/06/1993,77
Antonio Valencia,Defender,180cm,Ecuador,04/08/1985,
Jason Steele,Goalkeeper,188cm,England,18/08/1990,79
Juninho Bacuna,Midfielder,178cm,Curacao,07/08/1997,
Taylor Perry,Midfielder,,England,15/07/2001,
Martin Samuelsen,Midfielder,189cm,Norway,17/04/1997,
Angelo Ogbonna,Defender,191cm,Italy,23/05/1988,86
Ruben Loftus-Cheek,Midfielder,191cm,England,23/01/1996,88
Chem Campbell,Midfielder,,Wales,30/12/2002,
Eric GarcÃ­a,Defender,182cm,Spain,09/01/2001,
Eden Hazard,Forward,175cm,Belgium,07/01/1991,
Scott McTominay,Midfielder,193cm,Scotland,08/12/1996,88
Bernard,Forward,164cm,Brazil,08/09/1992,
Frederik Alves,Defender,195cm,Denmark,08/11/1999,
Zack Steffen,Goalkeeper,191cm,United States,02/04/1995,86
Femi Seriki,Defender,183cm,England,28/04/2002,
Benny Ashley-Seal,Forward,,England,21/11/1998,
George Hirst,Forward,191cm,England,15/02/1999,
Brennan Camp,Defender,,Scotland,12/10/2000,
ImrÃ¢n Louza,Midfielder,178cm,Morocco,01/05/1999,65
Panagiotis Retsos,Defender,186cm,Greece,09/08/1998,
Matt Butcher,Midfielder,188cm,England,14/05/1997,
Steven Defour,Midfielder,173cm,Belgium,15/04/1988,
Ezequiel Schelotto,Defender,187cm,Argentina,23/05/1989,
Kasey McAteer,Midfielder,,England,22/11/2001,
Nathan Holland,Midfielder,178cm,England,19/06/1998,
Kurt Zouma,Defender,190cm,France,27/10/1994,96
Gary Cahill,Defender,193cm,England,19/12/1985,
Reece Hannam,Defender,,England,11/09/2000,
Timothy Eyoma,Defender,183cm,England,29/01/2000,
Pablo Maffeo,Defender,172cm,Spain,12/07/1997,
Odion Ighalo,Forward,181cm,Nigeria,16/06/1989,
Bernardo Silva,Midfielder,173cm,Portugal,10/08/1994,64
Milot Rashica,Midfielder,177cm,Kosovo,28/06/1996,73
Denis SuÃ¡rez,Midfielder,176cm,Spain,06/01/1994,
Danny Rose,Defender,173cm,England,02/07/1990,72
Callum Elder,Defender,180cm,Australia,27/01/1995,
Rhys Norrington-Davies,Defender,181cm,Wales,22/04/1999,
CJ Egan-Riley,Defender,,England,02/01/2003,
Riyad Mahrez,Forward,179cm,Algeria,21/02/1991,67
Theo Walcott,Forward,176cm,England,16/03/1989,68
Ademola Lookman,Forward,174cm,Nigeria,20/10/1997,71
Toby Stevenson,Defender,,England,22/11/1999,
Corey Jordan,Defender,185cm,England,04/03/1999,
Konstantinos Tsimikas,Defender,178cm,Greece,12/05/1996,77
Trevoh Chalobah,Defender,190cm,England,05/07/1999,75
Luke Amos,Midfielder,179cm,England,23/02/1997,
Loris Karius,Goalkeeper,189cm,Germany,22/06/1993,87
Artur Boruc,Goalkeeper,193cm,Poland,20/02/1980,
Raphinha,Forward,176cm,Brazil,14/12/1996,68
Yaya TourÃ©,Midfielder,188cm,Cote Dâ€™Ivoire,13/05/1983,
